vuln_id	severity	bom_ref	ecosystem	name	version	purl	type
CVE-2011-3374	none	pkg:deb/debian/libapt-pkg6.0@2.6.1?arch=amd64&distro=debian-12&package-id=91b1396a4c2e715d&upstream=apt	deb	libapt-pkg6.0	2.6.1	pkg:deb/debian/libapt-pkg6.0@2.6.1?arch=amd64&distro=debian-12&upstream=apt	library
CVE-2018-20796	none	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2018-20796	none	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2018-20796	none	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2018-20796	none	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2018-20796	none	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2018-5709	none	pkg:deb/debian/krb5-locales@1.20.1-2%2Bdeb12u4?arch=all&distro=debian-12&package-id=72fde445ac2455fc&upstream=krb5	deb	krb5-locales	1.20.1-2+deb12u4	pkg:deb/debian/krb5-locales@1.20.1-2%2Bdeb12u4?arch=all&distro=debian-12&upstream=krb5	library
CVE-2018-5709	none	pkg:deb/debian/libgssapi-krb5-2@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=27dfed9942e654b2&upstream=krb5	deb	libgssapi-krb5-2	1.20.1-2+deb12u4	pkg:deb/debian/libgssapi-krb5-2@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library
CVE-2018-5709	none	pkg:deb/debian/libk5crypto3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=28bcce6865c31c7b&upstream=krb5	deb	libk5crypto3	1.20.1-2+deb12u4	pkg:deb/debian/libk5crypto3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library
CVE-2018-5709	none	pkg:deb/debian/libkrb5-3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=be62ac862a4f20f3&upstream=krb5	deb	libkrb5-3	1.20.1-2+deb12u4	pkg:deb/debian/libkrb5-3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library
CVE-2018-5709	none	pkg:deb/debian/libkrb5support0@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=45c439166729c218&upstream=krb5	deb	libkrb5support0	1.20.1-2+deb12u4	pkg:deb/debian/libkrb5support0@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library
CVE-2019-1010025	none	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010025	none	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010025	none	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010025	none	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010025	none	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2024-38949	medium	pkg:deb/debian/libde265-0@1.0.11-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=e9e852b82b9bceda&upstream=libde265	deb	libde265-0	1.0.11-1+deb12u2	pkg:deb/debian/libde265-0@1.0.11-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=libde265	library
CVE-2023-39616	high	pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=9e3b0cc1c76e74b4&upstream=aom	deb	libaom3	3.6.0-1+deb12u2	pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=aom	library
CVE-2025-10148	medium	pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=61f95e16aafc9e56	deb	curl	7.88.1-10+deb12u14	pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12	library
CVE-2025-10148	medium	pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=09b36c5d81fca08e&upstream=curl	deb	libcurl4	7.88.1-10+deb12u14	pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&upstream=curl	library
CVE-2025-0725	none	pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=61f95e16aafc9e56	deb	curl	7.88.1-10+deb12u14	pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12	library
CVE-2025-0725	none	pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=09b36c5d81fca08e&upstream=curl	deb	libcurl4	7.88.1-10+deb12u14	pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&upstream=curl	library
CVE-2024-28757	none	pkg:deb/debian/libexpat1@2.5.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=66ec0b239b3dc1ac&upstream=expat	deb	libexpat1	2.5.0-1+deb12u2	pkg:deb/debian/libexpat1@2.5.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=expat	library
CVE-2023-32570	medium	pkg:deb/debian/libdav1d6@1.0.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=d96162e7206cebef&upstream=dav1d	deb	libdav1d6	1.0.0-2+deb12u1	pkg:deb/debian/libdav1d6@1.0.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=dav1d	library
CVE-2017-9937	none	pkg:deb/debian/libjbig0@2.1-6.1?arch=amd64&distro=debian-12&package-id=63933a9eb4c88edb&upstream=jbigkit	deb	libjbig0	2.1-6.1	pkg:deb/debian/libjbig0@2.1-6.1?arch=amd64&distro=debian-12&upstream=jbigkit	library
CVE-2019-9192	none	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-9192	none	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-9192	none	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-9192	none	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-9192	none	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2025-13151	high	pkg:deb/debian/libtasn1-6@4.19.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=43e8c6e1dbd41a5d	deb	libtasn1-6	4.19.0-2+deb12u1	pkg:deb/debian/libtasn1-6@4.19.0-2%2Bdeb12u1?arch=amd64&distro=debian-12	library
CVE-2018-20712	none	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12&package-id=d842b59217648a95	deb	binutils	2.40-2	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12	library
CVE-2018-20712	none	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&package-id=5bcf7faea7019d8b&upstream=binutils	deb	binutils-common	2.40-2	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2018-20712	none	pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&package-id=d0e449f35480c447&upstream=binutils	deb	binutils-x86-64-linux-gnu	2.40-2	pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2018-20712	none	pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&package-id=78054169459aae2f&upstream=binutils	deb	libbinutils	2.40-2	pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2018-20712	none	pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&package-id=63bfd9a0d6ef6f63&upstream=binutils	deb	libctf-nobfd0	2.40-2	pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2018-20712	none	pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&package-id=79f92809e5afae8d&upstream=binutils	deb	libctf0	2.40-2	pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2018-20712	none	pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&package-id=727693742e6e3639&upstream=binutils	deb	libgprofng0	2.40-2	pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2025-15281	high	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2025-15281	high	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2025-15281	high	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2025-15281	high	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2025-15281	high	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
GHSA-mm7p-fcc7-pg87	medium	pkg:npm/nodemailer@6.10.1?package-id=1a1ea255d5e5b964	npm	nodemailer	6.10.1	pkg:npm/nodemailer@6.10.1	library
CVE-2019-1010024	none	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010024	none	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010024	none	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010024	none	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2019-1010024	none	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2026-0915	high	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2026-0915	high	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2026-0915	high	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2026-0915	high	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2026-0915	high	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library
CVE-2025-1153	none	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12&package-id=d842b59217648a95	deb	binutils	2.40-2	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12	library
CVE-2025-1153	none	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&package-id=5bcf7faea7019d8b&upstream=binutils	deb	binutils-common	2.40-2	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2025-1153	none	pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&package-id=d0e449f35480c447&upstream=binutils	deb	binutils-x86-64-linux-gnu	2.40-2	pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2025-1153	none	pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&package-id=78054169459aae2f&upstream=binutils	deb	libbinutils	2.40-2	pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2025-1153	none	pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&package-id=63bfd9a0d6ef6f63&upstream=binutils	deb	libctf-nobfd0	2.40-2	pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2025-1153	none	pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&package-id=79f92809e5afae8d&upstream=binutils	deb	libctf0	2.40-2	pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2025-1153	none	pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&package-id=727693742e6e3639&upstream=binutils	deb	libgprofng0	2.40-2	pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
CVE-2023-50495	medium	pkg:deb/debian/libtinfo6@6.4-4?arch=amd64&distro=debian-12&package-id=a6231fb14cfeaaac&upstream=ncurses	deb	libtinfo6	6.4-4	pkg:deb/debian/libtinfo6@6.4-4?arch=amd64&distro=debian-12&upstream=ncurses	library
CVE-2023-50495	medium	pkg:deb/debian/ncurses-base@6.4-4?arch=all&distro=debian-12&package-id=ec73073218fd031a&upstream=ncurses	deb	ncurses-base	6.4-4	pkg:deb/debian/ncurses-base@6.4-4?arch=all&distro=debian-12&upstream=ncurses	library
CVE-2023-50495	medium	pkg:deb/debian/ncurses-bin@6.4-4?arch=amd64&distro=debian-12&package-id=c5b18ac268f2ccdf&upstream=ncurses	deb	ncurses-bin	6.4-4	pkg:deb/debian/ncurses-bin@6.4-4?arch=amd64&distro=debian-12&upstream=ncurses	library
GHSA-5j98-mcp5-4vw2	high	pkg:npm/glob@10.4.5?package-id=5c81a34fef3634ef	npm	glob	10.4.5	pkg:npm/glob@10.4.5	library
CVE-2023-31486	none	pkg:deb/debian/perl-base@5.36.0-7%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=e272b8e8d5eb9292&upstream=perl	deb	perl-base	5.36.0-7+deb12u3	pkg:deb/debian/perl-base@5.36.0-7%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=perl	library
CVE-2018-6829	none	pkg:deb/debian/libgcrypt20@1.10.1-3?arch=amd64&distro=debian-12&package-id=d386f651d9220c9e	deb	libgcrypt20	1.10.1-3	pkg:deb/debian/libgcrypt20@1.10.1-3?arch=amd64&distro=debian-12	library
CVE-2016-2781	low	pkg:deb/debian/coreutils@9.1-1?arch=amd64&distro=debian-12&package-id=eca37691b87c0860	deb	coreutils	9.1-1	pkg:deb/debian/coreutils@9.1-1?arch=amd64&distro=debian-12	library
GHSA-rcmh-qjqh-p98v	low	pkg:npm/nodemailer@6.10.1?package-id=1a1ea255d5e5b964	npm	nodemailer	6.10.1	pkg:npm/nodemailer@6.10.1	library
CVE-2018-10126	none	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff	deb	libtiff6	4.5.0-6+deb12u3	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=tiff	library
CVE-2025-0840	none	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12&package-id=d842b59217648a95	deb	binutils	2.40-2	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12	library
CVE-2025-0840	none	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&package-id=5bcf7faea7019d8b&upstream=binutils	deb	binutils-common	2.40-2	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library
